date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:05	78033/78033	---MCZ	200	added ('OK')	text/html	etag:W/%2265e500e9-130d1%22	https://uithemez.com/i/andrew/home3.html	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/home3.html	(from )
21:10:06	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Dec%202024%2018:10:05%20GMT	https://uithemez.com/robots.txt		(from )
21:10:06	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2265e50108-13e%22	https://uithemez.com/i/andrew/assets/imgs/favicon.ico	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/imgs/favicon.ico	(from https://uithemez.com/i/andrew/home3.html)
21:10:06	863/863	---MCZ	200	added ('OK')	text/css	etag:W/%2265e500f6-35f%22	https://uithemez.com/i/andrew/assets/css/plugins.css	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/css/plugins.css	(from https://uithemez.com/i/andrew/home3.html)
21:10:06	110574/110574	---MCZ	200	added ('OK')	text/css	etag:W/%2265e500f6-1afee%22	https://uithemez.com/i/andrew/assets/css/style.css	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/css/style.css	(from https://uithemez.com/i/andrew/home3.html)
21:10:06	4045/4045	---M--	200	added ('OK')	image/png	etag:%2265e50109-fcd%22	https://uithemez.com/i/andrew/assets/imgs/logo-light.png	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/imgs/logo-light.png	(from https://uithemez.com/i/andrew/home3.html)
21:10:07	22993/22993	---M--	200	added ('OK')	image/png	etag:%2265e5013b-59d1%22	https://uithemez.com/i/andrew/assets/imgs/serv-img/1.png	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/imgs/serv-img/1.png	(from https://uithemez.com/i/andrew/home3.html)
21:10:07	232341/232341	---M--	200	added ('OK')	image/png	etag:%2265e5012c-38b95%22	https://uithemez.com/i/andrew/assets/imgs/header/b1.png	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/imgs/header/b1.png	(from https://uithemez.com/i/andrew/home3.html)
21:10:08	23023/23023	---MCZ	200	added ('OK')	text/html	etag:W/%2265e500eb-59ef%22	https://uithemez.com/i/andrew/services.html	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/services.html	(from https://uithemez.com/i/andrew/home3.html)
21:10:08	12539/12539	---M--	200	added ('OK')	image/png	etag:%2265e5013b-30fb%22	https://uithemez.com/i/andrew/assets/imgs/serv-img/2.png	C:/Users/aliri/Desktop/Harun/harun/uithemez.com/i/andrew/assets/imgs/serv-img/2.png	(from https://uithemez.com/i/andrew/home3.html)
